loca_2,representative_point_lat,representative_point_lng
KIN KORA,-23.878370065,151.24667940548414
KINBOMBI,-26.210168799999998,152.14439959618147
KINCHANT DAM,-21.214114915,148.89466382523392
KINCORA,-27.806155750000002,151.5283458697221
KINDON,-28.09029956,150.86631882103924
BARCALDINE DOWNS,-23.79476241,144.97278277950528
KING SCRUB,-27.168458275,152.82387528203236
KINGAHAM,-26.54830314,152.37305711710644
KINGAROY,-26.523175665,151.83439618690022
KINGS BEACH,-26.802050235,153.14404080080044
KINGS CREEK,-27.898217119999998,151.9165581760676
KINGS SIDING,-27.453923035000003,151.78995652963283
KINGSHOLME,-27.82817803,153.2329183126307
KINGSTHORPE,-27.495855915,151.79661172260853
KINGSTON,-27.662476025,153.1100990800293
KINKA BEACH,-23.224199034999998,150.7911490783742
BARDON,-27.459558525,152.97757532245654
KINKUNA,-25.025088144999998,152.4530626093103
KINLEYMORE,-26.17742935,151.6439632516523
KINNOUL,-25.677351555,149.5206740338535
KIOMA,-28.197057020000003,149.79691091349724
KIPPA-RING,-27.223356889999998,153.08203279230952
KIRKNIE,-19.87071154,147.30222987000593
KIRKWOOD,-23.907169645,151.24460741517913
KIRRAMA,-18.181414519999997,145.56317894150544
KIRWAN,-19.303766025,146.71644632667147
BAREE,-23.620490615,150.39069206277782
KITOBA,-26.0638198,151.86354100720484
KLEINTON,-27.41562278,151.95328508144308
KNAPP CREEK,-28.126646440000002,152.81088130844682
KOAH,-16.90140075,145.53423918935175
KOBBLE CREEK,-27.267148730000002,152.79697624225608
KOGAN,-27.08163377,150.6907156749864
KOKOTUNGO,-24.12620966,149.97505957744767
KOLONGA,-24.77600378,151.68267913551398
KOOMBOOLOOMBA,-17.82669388,145.53868195735487
AIRLIE BEACH,-20.272254875,148.71823317459882
BARELLAN POINT,-27.571271709999998,152.84379840227
KOONGAL,-23.368614145000002,150.54843009233508
KOORALBYN,-28.074287595,152.82045435872664
KOORALGIN,-26.930092455,151.93379463964845
KOORINGAL,-27.35056641,153.42015227585625
KOOROOMOOL,-17.929455565,145.71779255157026
KOOROONGARRA,-28.092243279999998,151.27097151618966
KOUMALA,-21.62253887,149.28149383633348
KOWANYAMA,-15.277216755,141.8172770155008
KOWGURAN,-26.507138134999998,150.11761016209115
KRAGRA,-26.117598004999998,150.7985915403537
BARGARA,-24.826126375,152.45589218134995
KULANGOOR,-26.588704110000002,152.9536982214775
KULGUN,-27.93112841,152.68296461217952
KULLOGUM,-25.341344030000002,152.25623983817113
KULPI,-27.18092071,151.69614680872468
KULUIN,-26.657708665,153.05598676932632
KUMBARILLA,-27.265649275,150.89119337785706
KUMBIA,-26.690720980000002,151.66083969300422
KUNDA PARK,-26.66127484,153.0401076380921
KUNIOON,-26.668148565000003,151.90005588486324
KUNWARARA,-22.85526101,150.092072275512
BARGUNYAH,-27.20676035,147.45606875997152
KURABY,-27.605182069999998,153.09299176803364
KURANDA,-16.830500795,145.60967693788405
KUREELPA,-26.608329255,152.8934115286173
KUREEN,-17.335431335,145.58755176367617
KURIDALA,-21.105413865000003,140.392817322448
KURRIMINE BEACH,-17.751068150000002,146.1258052294594
KURROWAH,-27.719767750000003,151.17379334481183
KURUMBUL,-28.574549345,150.4949979256242
KURWONGBAH,-27.224984575,152.936983009223
KUTTABUL,-21.023912215000003,148.904135340829
BARKER CREEK FLAT,-26.64780748,151.9448439355238
KYBONG,-26.286834485,152.7079606600775
KYNUNA,-21.379334405,141.82036024439213
KYOOMBA,-28.69512683,151.98504701150728
LABRADOR,-27.94570623,153.40082423640627
LACEYS CREEK,-27.231973655,152.72166723883714
LAGLAN,-22.385939155,146.31521837567254
LAGOON POCKET,-26.276451205,152.6838708665877
LAGUNA QUAYS,-20.624415075,148.66311328157684
LAIDLEY,-27.63982728,152.41328762108617
BARKLY,-20.662663825000003,138.5074103103981
LAIDLEY CREEK WEST,-27.670998230000002,152.35217017791945
LAIDLEY HEIGHTS,-27.629625975000003,152.36567604313132
LAIDLEY NORTH,-27.60943528,152.40429919131105
LAIDLEY SOUTH,-27.6735292,152.3864760727397
LAKE BARRINE,-17.24513518,145.6466412927499
LAKE BORUMBA,-26.523431815000002,152.51363492297475
LAKE CLARENDON,-27.516532215,152.35691710809783
LAKE EACHAM,-17.29973667,145.64912951860748
LAKE MACDONALD,-26.389818105,152.93652624986484
LAKE MANCHESTER,-27.437222495,152.7835408118824
BARLIL,-26.20252605,151.88762005736854
LAKE MARY,-23.115129805000002,150.60474967891412
LAKE MONDURAN,-24.805424095,151.81209309808463
LAKE PROSERPINE,-20.390076455,148.33591601655917
LAKE TINAROO,-17.196458265,145.5740537663337
LAKE WIVENHOE,-27.245123345000003,152.47709315344326
LAKEFIELD,-14.792399235,144.18004098096324
LAKELAND,-15.894241645000001,144.8669559310123
LAKES CREEK,-23.374361135,150.57229914085917
LAKESIDE,-25.570156400000002,152.11422342118453
LAMB ISLAND,-27.62280294,153.38228156146295
BARLOWS HILL,-23.10789501,150.74127124994538
LAMB RANGE,-17.046740415000002,145.67050815349955
LAMINGTON,-28.26830341,153.02344869205547
LAMMERMOOR,-23.163143894999997,150.7696699691797
LANDERS SHOOT,-26.71460166,152.9277811482039
LANDSBOROUGH,-26.810931885000002,152.99041364674895
LANEFIELD,-27.65684498,152.55738948043546
LANGLANDS,-26.692529229999998,150.9844470536957
LANGLEY,-25.114759239999998,151.23987740384143
LANGLO,-26.00040215,145.74599351227823
LANGSHAW,-26.299867445,152.5798888386243
BARLYNE,-25.737320335,151.6392258243032
LANNERCOST,-18.613178044999998,145.96215017888392
LANSDOWNE,-25.12977871,146.1591248583756
LANSKEY,-20.6877835,139.499441888148
LARAPINTA,-27.640621405,153.0069043604332
LARAVALE,-28.087830330000003,152.93480237519313
LARK HILL,-27.52513094,152.59296501844872
LAURA,-15.44926682,144.07524400618286
LAVELLE,-28.00407656,151.28278933271497
LAWES,-27.56520786,152.33099518638497
BARMARYEE,-23.14367218,150.70958648975946
LAWGI DAWES,-24.59439772,150.73648468474101
LAWN HILL,-18.634020665,138.39553839046988
LAWNTON,-27.28218798,152.9795973575567
LEAFDALE,-26.240423149999998,151.77123006420967
LEFTHAND BRANCH,-27.7897835,152.25547127850996
LEICHHARDT,-27.62308488,152.73523727549215
LEMONTREE,-27.789345365,151.30369363956603
LESLIE,-28.174601045,151.91571131473464
LESLIE DAM,-28.25267808,151.89912422658122
LETHEBROOK,-20.544924315000003,148.6513235332655
BARMOYA,-23.12654301,150.53824805892333
LEYBURN,-28.01740594,151.59758077189187
LEYDENS HILL,-23.610153845,150.41486933437693
LILYDALE,-27.609371305,152.14301745136845
LILYVALE,-27.431600725,151.87325413777023
LILYVALE,-23.131939545,148.44126076321686
LIMESTONE,-23.66015195,150.42447974887062
LIMESTONE CREEK,-23.287359915,150.56134706746002
LIMESTONE RIDGES,-27.832243894999998,152.72572720678127
LIMEVALE,-28.740695855,151.1686109379752
LINDEN,-27.896881280000002,146.37515430446683
AIRVILLE,-19.637246775,147.35056635877154
BARNARD,-24.00585725,149.67252123389886
LINTHORPE,-27.61834673,151.67687811208583
LINVILLE,-26.80960957,152.23703635304568
LITTLE MOUNTAIN,-26.785745104999997,153.0946503199079
LITTLE MULGRAVE,-17.130057309999998,145.70462767532482
LIZARD,-14.754636025,145.35375393476596
LLANARTH,-21.326976985,146.44143789959952
LOCH LOMOND,-28.330779345,152.17737195624224
LOCHINGTON,-23.956703994999998,147.45790618997233
BARNEY POINT,-23.84545221,151.27039624605743
LOCKROSE,-27.48970246,152.46407290571614
LOCKYER,-27.50615977,152.06915056348146
LOCKYER WATERS,-27.45316377,152.40370464537307
LOGAN CENTRAL,-27.64479739,153.1091510010118
LOGAN RESERVE,-27.717209955,153.10732563458262
LOGAN VILLAGE,-27.789305695000003,153.11690665791366
LOGANHOLME,-27.68311349,153.1923107639532
BARNEY VIEW,-28.23756552,152.7789761195438
LOGANLEA,-27.675389395,153.13487297709412
LONESOME CREEK,-24.904592125,150.0935771089416
LONG FLAT,-26.2665363,152.6598999675767
LONG POCKET,-18.518120860000003,145.9802448562767
LONGREACH,-23.382803765,143.64067081177
LOTA,-27.467609154999998,153.19313952881407
LOTUS CREEK,-22.27166872,149.08874534727588
LOW ISLES,-16.38618328,145.56538790707503
LOWER BEECHMONT,-28.047418115,153.24428753009778
LOWER COWLEY,-17.6950114,146.07239936004126
BAROONDAH,-25.66685277,149.18361090453476
LOWER CRESSBROOK,-27.08179714,152.48342624088298
LOWER DAINTREE,-16.286122765000002,145.39081519796727
LOWER MOUNT WALKER,-27.71883449,152.52944788372844
LOWER TENTHILL,-27.604035005,152.2389137718077
LOWER TULLY,-17.982828519999998,146.01105664281823
LOWER WONGA,-26.110324945000002,152.46961796544772
LOWESBY,-24.33876387,148.7046699825085
LOWESTOFF,-22.836158734999998,148.07173999534817
LOWMEAD,-24.624357025000002,151.7007316727041
LOWOOD,-27.46849257,152.565248049809
BARRAMORNIE,-27.064319585,150.09521381193483
LUCINDA,-18.53248425,146.33729330910523
LUMEAH,-25.266501305,145.67329061213195
LUMHOLTZ,-18.289440165000002,145.89966607741707
LUNDAVRA,-28.090872645,150.00083114322933
LUSCOMBE,-27.787749755,153.20825792270193
LUTWYCHE,-27.4202332,153.03456400323128
LYNAM,-19.254192505,146.43938639733204
LYNDHURST,-19.258348650000002,144.3634081690602
LYNDSIDE,-16.923742985,143.54340745504794
LYNFORD,-27.474777860000003,152.44879995108147
BARRATTA,-19.56274356,147.24323337255316
LYONS,-27.7740511,152.85520324970472
LYRA,-28.83015264,151.86206779635214
LYTTON,-27.423420565,153.1501019057807
MA MA CREEK,-27.631826275,152.17536545957705
MAADI,-17.831707065,145.99061143122856
MAALAN,-17.60659328,145.59696320662238
MAAROOM,-25.5885449,152.86265633327324
MABUIAG ISLAND,-9.95763728,142.17950265150515
MACALISTER,-27.03542678,151.0687190330928
MACALISTER RANGE,-16.775309715,145.65500872293262
BARRINE,-17.22665882,145.61955505180606
MACFARLANE,-24.874194234999997,146.01263658297188
MACGREGOR,-27.56328408,153.07259205119107
MACHANS BEACH,-16.853396695,145.7511411162664
MACHINE CREEK,-23.83233487,150.94159917068444
MACKAY,-21.142688925,149.1855641832425
MACKAY HARBOUR,-21.11628949,149.21246627892634
MACKENZIE,-27.541871105,153.12803540546986
MACKENZIE,-23.130810855,149.38840243335244
MACKENZIE RIVER,-23.13649221,148.7981092403819
MACKNADE,-18.543149145,146.2565535610185
BARRINGHA,-19.528940125,146.78064780035868
MACLAGAN,-27.056928550000002,151.6809551291598
MACLEAY ISLAND,-27.604776395000002,153.3578075628795
MAGNOLIA,-25.66295623,152.68914308890783
MAIDENHEAD,-29.116157085,151.3857883312399
MAIDENWELL,-26.838391010000002,151.79198333069974
MAIN BEACH,-27.958839235,153.4246807536758
MAJORS CREEK,-19.643490475,147.0163997700658
MALANDA,-17.37335675,145.59159256288888
MALARGA,-25.79416414,152.10600332457398
MALENY,-26.756190295,152.8421733281909
