loca_2,centroid_lat,centroid_lng
NAROOMA,-36.23755219419927,150.05068182930384
NARRABARBA,-37.21871489482563,149.77203380439352
NARRABEEN,-33.71564709252406,151.28865607832665
NARRABRI,-30.219889486459156,149.770957743599
NARRABURRA,-34.3287379167156,147.6175572208439
BENEREMBAH,-34.43044698256274,145.84519702128617
NARRAN LAKE,-29.836961307442735,147.3208241310962
NARRANDERA,-34.677421994458655,146.59492699012733
NARRANGULLEN,-35.02111865662448,148.72780880600803
NARRAWA,-34.41693637847326,149.17243976851526
NARRAWALLEE,-35.312364270160764,150.46368668831792
NARRAWEENA,-33.749409174313044,151.27318334612875
NARROMINE,-32.30129719854799,148.0963539572845
NARWEE,-33.94655914628347,151.06932613640222
NASHDALE,-33.30311479456679,149.0074707429562
NASHUA,-28.727239935599293,153.46499617183878
BENGALLA,-32.28655581156977,150.82164747242302
NATTAI,-34.060424463694105,150.44786769097587
NAUGHTONS GAP,-28.800600072248045,153.10072297267706
NEATH,-32.822484822480135,151.41558619263236
NEBEA,-30.891578668669244,148.56241967096244
NEILREX,-31.739464659495248,149.38682936810605
NELLIGEN,-35.66679244223163,150.10020706376278
NELSON,-36.66770596857463,149.95828184263203
NELSON,-33.64628980775098,150.9213723461648
NELSON BAY,-32.73548664794036,152.13909344905653
NELSONS PLAINS,-32.72188131714036,151.71962540363663
NELUNGALOO,-33.180356003828,147.9807573596467
NEMINGHA,-31.11713213107402,151.0050745012548
NERICON,-34.17807299286877,146.03552231310417
NERINGLA,-35.72657252169467,149.77462302333282
NERONG,-32.53175455151532,152.17688939279657
NERRIGA,-35.096741696869536,150.0699444012976
NERRIGUNDAH,-36.13181361522888,149.84847899756167
NETHERCOTE,-37.025095615396026,149.80109699764878
NEUREA,-32.684742092341416,148.92684820336385
NEUTRAL BAY,-33.83479878999215,151.21794754259352
BENNETTS GREEN,-32.99960769545242,151.6981977212184
NEVER NEVER,-30.35583077671993,152.81939318988162
NEVERTIRE,-31.862317163511584,147.64314379623366
NEVILLE,-33.738260113376306,149.19452101639044
NEW BERRIMA,-34.50844358997243,150.3340686768364
NEW BRIGHTON,-28.51963504271255,153.55044852194536
NEW BUILDINGS,-36.96114696921553,149.5591499104911
NEW ITALY,-29.143664856009373,153.29781912260052
NEW LAMBTON,-32.92774215384764,151.70945468275576
NEW LAMBTON HEIGHTS,-32.92656783784789,151.68937937765244
NEW MEXICO,-30.731274049981664,150.61423140868447
NEW PARK,-28.600396243858434,152.9943752669986
NEW VALLEY,-30.055799941706635,151.33243178871666
NEWBOLD,-29.519045860954083,152.69599511469775
NEWBRIDGE,-33.58089856393389,149.374188440944
NEWCASTLE,-32.91932105593599,151.779517877402
NEWCASTLE EAST,-32.92664041575689,151.78984809750574
NEWCASTLE WEST,-32.928278604699294,151.76075924027077
NEWEE CREEK,-30.631607995715388,152.92734880926855
NEWINGTON,-33.838685000550434,151.0547841816713
BENSVILLE,-33.498130756660686,151.3922293648554
NEWNES,-33.18850515187815,150.25522787102526
NEWNES PLATEAU,-33.325363030716716,150.27243380201293
NEWPORT,-33.65659463820004,151.31523174921048
NEWRYBAR,-28.726552650269998,153.54875958293547
NEWSTEAD,-29.823672981566297,151.3858081263216
NEWTON BOYD,-29.729921912483324,152.32314783662576
NEWTOWN,-33.89860382204671,151.17934588869682
NIAGARA PARK,-33.37754549923766,151.35146369442114
NIANGALA,-31.44339438065133,151.45350820436394
NIEMUR,-35.23778066605116,144.3078519943567
BENTLEY,-28.741915773447317,153.097011174507
NIGHTCAP,-28.551950105869064,153.29363229948217
NIMBIN,-28.5802228804178,153.23809600155678
NIMMITABEL,-36.50139465991351,149.2836413177822
NIMMO,-36.17872539939324,148.6276235384291
